cod_distrito,distrito,cod_municipio,municipio,uf,nome_uf,cod_regiao_intermediaria,regiao_intermediaria,cod_regiao_imediata,regiao_imediata,populacao_total,masc_total,fem_total,masc_16_19,fem_16_19,masc_20_29,fem_20_29,masc_30_39,fem_30_39,masc_40_49,fem_40_49,masc_50mais,fem_50mais,renda_ate_2sm,renda_2_a_5sm,renda_5_a_10sm,renda_mais_10sm
110001505,Alta Floresta D'Oeste,1100015,Alta Floresta D'Oeste,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,16699,8267,8432,645,601,1182,1204,1192,1291,1156,1331,2278,2266,3077,1799,475,140
110001515,Filadélfia d'Oeste,1100015,Alta Floresta D'Oeste,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,551,299,252,19,22,38,37,36,43,41,43,81,46,136,45,10,2
110001520,Izidolândia,1100015,Alta Floresta D'Oeste,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,532,287,245,25,17,37,39,47,38,46,32,66,51,150,54,9,3
110001525,Nova Gease d'Oeste,1100015,Alta Floresta D'Oeste,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1071,562,509,57,39,68,68,61,61,54,63,144,104,237,60,6,3
110001530,Rolim de Moura do Guaporé,1100015,Alta Floresta D'Oeste,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,801,442,359,45,35,59,48,61,66,63,53,89,60,105,36,4,2
110001535,Santo Antônio d'Oeste,1100015,Alta Floresta D'Oeste,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1691,887,804,54,67,126,112,131,128,119,120,269,203,426,135,20,2
110002305,Ariquemes,1100023,Ariquemes,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,96257,47464,48793,3830,3816,7944,8272,7346,8049,6716,7270,10757,11015,11456,9747,3493,1351
110003105,Cabixi,1100031,Cabixi,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,5335,2696,2639,187,176,264,274,365,410,400,363,923,843,1148,545,132,35
110004905,Cacoal,1100049,Cacoal,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,74919,36271,38648,2701,2760,6293,6758,5926,6345,5152,5786,8516,9554,7997,7683,2936,1121
110004910,Riozinho,1100049,Cacoal,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,11216,5744,5472,427,363,739,701,811,768,805,764,1754,1591,2544,910,196,65
